,[soyisim]
1359,AYYILDIZ
1360,SOYER
1361,HAKYOL
1362,DİNÇER
1363,DEMİRBAŞ
1364,YILANLI
1365,SAF
1366,SAKALLIOĞLU
1367,KARAKAYA
1368,AKÖZ
1369,SEÇİR
1370,ÇERİK
1371,BÜYÜKTAŞ
1372,DUMLU
1373,İNCE
1374,SULHAN
1375,KANNECİ
1376,UFACIK
1377,TEKİR
1378,YEŞİLOVA
1379,AKCA ÇAĞLAR
1380,KURT GÜNEY
1381,YILDIRIM
1382,İNANÇ
1383,ARDA
1384,SAĞDIK
1385,ÖZKAYNAR
1386,USUL
1387,SEVİMLİ
1388,ALPSAN GÖKMEN
1389,GÖKÇEK
1390,ÜSTÜN
1391,SÜLÜK
1392,DEMİRÖZ
1393,CAN
1394,ÖNDER
1395,ÜLKEVAN
1396,SEYREK
1397,YEGEN YILMAZ
1398,İLİK
1399,FİDAN
1400,ÇALIK
1401,ÇİÇEK
1402,DUYAN
1403,İZGİ
1404,KIRLANGIÇ
1405,ŞENÖZ
1406,ARARAT
1407,GÜRAKAN
1408,KIRLI
1409,GİRAY
1410,ERSÖZ
1411,DUYU
1412,ZENGİN
1413,SOBAY
1414,ALBEN
1415,GÖLEMEZ
1416,KARADAĞ GEÇGEL
1417,SEZEN
1418,CELTEMEN
1419,ATEŞ
1420,BAKAY
1421,YAKUT
1422,GÜRSOY
1423,BAĞ
1424,ELGÖRMÜŞ
1425,BÖCÜ
1426,AKYILMAZ
1427,KARAARSLAN
1428,TOPAK
1429,EREN
1430,GÜNEY KOCABAŞ
1431,TEKİŞ
1432,1
1433,GÜNYEL
1434,ATİLA
1435,SÖKMEN
1436,MERT
1437,MESCİ HAFTACI
1438,KAZANCI
1439,BAŞARAN
1440,KINALIOĞLU
1441,KAZAN
1442,İLBAY
1443,KÖYLÜOĞLU
1444,ALPARSLAN
1445,KILIÇ YILDIRIM
1446,GERDAN
1447,ATAY
1448,HAMDEMİRCİ
1449,ERSOY
1450,TAYFUN
1451,TOKER
1452,ÇANTAY
1453,MAVİ
1454,SUBARİ
1455,CİMBEK
1456,HİÇYILMAZ
1457,BİÇER
1458,SONAY
1459,DUMAN
1460,ERTEKİN
1461,GÜVERCİN
1462,ATMIŞ
1463,DEMİR GÖÇMEN
1464,KUTLAR
1465,YURT
1466,KİRİŞCİ
1467,KABACAOĞLU
1468,ÇAĞLAR
1469,KACEMER
1470,KIZMAZOĞLU
1471,COŞAR
1472,BARBAROS
1473,GÜNAY
1474,CİRİT KOÇER
1475,SÖYLER
1476,BOLKAN
1477,PİRİ
1478,TOPCUOĞLU
1479,ÇALIŞKANTÜRK
1480,TEN
1481,SERTKAYAOĞLU
1482,TAŞCI
1483,SUZAN
1484,KASAP
1485,KORKMAZOĞLU
1486,GÖKTÜRK
1487,SEVİNGİL
1488,GÖKTAŞ
1489,ÖZMEN
1490,ESEN
1491,ÖZBEY
1492,DURUK
1493,DEVECİ
1494,GEDİK YILMAZ
1495,TÜLÜCE
1496,SU
1497,AKINCI
1498,KURTULUŞ
1499,KAYAYURT
1500,BÖRTA
1501,KIRCALI
1502,NİZAM
1503,MEMİŞ
1504,BAKIRCI
1505,PEKER
1506,ÇOKER
1507,DEMİRAY
1508,DAM
1509,SERBEST
1510,NUHVEREN
1511,SAYIN
1512,ŞAŞMAZ
1513,GÜMÜŞAY
1514,AKKAN
1515,AYDUĞAN
1516,KELERCİOĞLU
1517,ELMAAĞAÇ
1518,ARIKAN YORGUN
1519,GÜRDEMİR
1520,KAYMAN KÖSE
1521,TAHTACI
1522,BOZPOLAT
1523,BİLGİÇ
1524,TAŞDELEN
1525,EFE
1526,ÇETER
1527,ÜNÜŞ
1528,MİRZA
1529,SAKALLI
1530,AKSEL
1531,GÜRBOSTAN
1532,PİŞİRGEN
1533,BAYRAK
1534,GÜNBEY
1535,YANMAZ
1536,AVCI
1537,DURMUŞ
1538,KOYUNCU
1539,ERYAVUZ
1540,YANIK
1541,YAYIKÇI
1542,ÜZER
1543,ALAYBEYOĞLU
1544,EMLEK
1545,ATALAY
1546,AKMEŞE
1547,İŞTAR
1548,ÖZDEMİRKIRAN
1549,GÜNEYSU
1550,ALBAYRAK
1551,BARÇA
1552,ÖZATA
1553,BAĞCI
1554,ALTUNYAPRAK
1555,ÇANKAYA
1556,MALÇOK
1557,KARAN
1558,GÜNAYDIN
1559,KAŞIKÇI
1560,ERDEM ÖZCAN
1561,GÜRER
1562,ÜNALAN
1563,BOLSOY
1564,HAŞİMOĞLU
1565,ADISANLI
1566,KAVUKOĞLU
1567,GAZETECİ TEKİN
1568,YÜCETÜRK
1569,ÜÇGÜL
1570,YÜZBAŞIOĞLU
1571,ÖZGÜNER
1572,KÖKSOY
1573,NACAR
1574,ORMAN
1575,ALABALIK
1576,BARAN
1577,TİMURTAŞ DAYAR
1578,TOKTAŞ
1579,GÖKSEL
1580,ELLİALTI
1581,KAYA
1582,DURÇ ÖZTÜRK
1583,BOZAN
1584,VEZİROĞLU BİRDANE
1585,VARICI
1586,ÇİLDİR
1587,KARAKILIÇ
1588,BAŞ
1589,KUDAY
1590,KAHRAMAN
1591,ARDIÇ
1592,YURTLU
1593,AKYOL
1594,TOPTAŞ
1595,ÖRDEK
1596,KUŞKU
1597,ZUBAROĞLU
1598,SARİ
1599,ONAN
1600,GÖÇEN
1601,KANAT
1602,ÇATUK
1603,DÜZ
